# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!

浙江卫视4K,http://z.b.bkpcp.top/m.php?id=zjws
CCTV01综合,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv1
CCTV02财经,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv2
CCTV03综艺,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv3
CCTV04中文国际,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv4
CCTV05体育,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv5
CCTV06电影,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv6
CCTV07国防军事,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv7
CCTV08电视剧,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv8
CCTV09记录,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv9
CCTV10科教,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv10
CCTV11戏曲,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv11
CCTV12社会与法,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv12
CCTV13新闻,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv13
CCTV14少儿,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv14
CCTV15音乐,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv15
CCTV16奥林匹克,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv16
CCTV17农业农村,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cctv17
安徽卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=ahws
北京卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=bjws
重庆卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=cqws
东方卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=dfws
东南卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=dnws
广东卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=gdws
广西卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=gxws
贵州卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=gzws
河北卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=hebeiws
河南卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=hnws
黑龙江卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=hljws
湖北卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=hbws
吉林卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=jlws
江苏卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=jsws
江西卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=jxws
辽宁卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=lnws
山东卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=sdws
山西卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=sxws
陕西卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=shxws
深圳卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=szws
四川卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=scws
天津卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=tjws
西藏卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=xzws
延边卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=live1019
浙江卫视,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=zjws
嘉佳卡通,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=live1049
金鹰卡通,http://nn.7x9d.cn/mk.php?ip=119.55.86.82:8014&id=live1048
